Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1974","1974","1000 persons","15459.697","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1974","1974","1000 persons","17535.515","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1974","1974","1000 persons","14249.985","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1975","1975","1000 persons","32729.772","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1975","1975","1000 persons","16818.152","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1975","1975","1000 persons","15911.62","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1975","1975","1000 persons","17757.401","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1975","1975","1000 persons","14973.153","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1976","1976","1000 persons","33733.961","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1976","1976","1000 persons","17348.126","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1976","1976","1000 persons","16385.849","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1976","1976","1000 persons","17993.749","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1976","1976","1000 persons","15744.019","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1977","1977","1000 persons","34803.045","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1977","1977","1000 persons","17916.964","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1977","1977","1000 persons","16886.077","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1977","1977","1000 persons","18286.193","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1977","1977","1000 persons","16524.53","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1978","1978","1000 persons","35960.805","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1978","1978","1000 persons","18530.481","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1978","1978","1000 persons","17430.33","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1978","1978","1000 persons","18630.284","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1978","1978","1000 persons","17342.368","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1979","1979","1000 persons","37237.137","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1979","1979","1000 persons","19195.175","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1979","1979","1000 persons","18041.97","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1979","1979","1000 persons","19017.158","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1979","1979","1000 persons","18235.501","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 persons","38650.246","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1980","1980","1000 persons","19914.487","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1980","1980","1000 persons","18735.757","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1980","1980","1000 persons","19452.684","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1980","1980","1000 persons","19215.536","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1981","1981","1000 persons","40199.906","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1981","1981","1000 persons","20685.483","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1981","1981","1000 persons","19514.428","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1981","1981","1000 persons","19934.298","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1981","1981","1000 persons","20283.331","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1982","1982","1000 persons","41869.236","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1982","1982","1000 persons","21502.487","X","International reliable sources",""
